"Stanice","Srazky_za_posledni_hodinu","Srazky_za_12_hodin","Srazky_za_24_hodin","Novy_snih_cm","Celkova_snehova_pokryvka_cm","date_stamp"
"Cheb","0,0 mm","3 mm","6,8 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Svratouch","0,0 mm","0,5 mm","0,6 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Lysá hora","0,0 mm","0,0 mm","2,1 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Praha-Libuš","0,0 mm","2 mm","5,2 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Karlovy Vary","0,0 mm","4 mm","14,9 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Milešovka"," ","5 mm","16,2 mm"," ","0 cm","05/11/2021 19:00:00"
"Brno-Tuřany","0,0 mm","0,0 mm","1,5 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Kopisty"," ","0,3 mm","15,9 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Tušimice","0,0 mm","1 mm","12,6 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Dukovany","neměřitelné","neměřitelné","0,3 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Doksany","0,0 mm","2 mm","9,6 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Kocelovice","0,0 mm","neměřitelné","1,4 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Ústí nad Orlicí","0,0 mm","0,2 mm","0,7 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Praha-Karlov","0,0 mm","0,2 mm"," "," "," ","05/11/2021 19:00:00"
"Košetice","0,0 mm","neměřitelné","2,0 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Ostrava-Mošnov","0,0 mm","0,0 mm","2,4 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Šerák","0,1 mm","2 mm","9,5 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Ústí nad Labem","0,0 mm","2 mm","18,1 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Kuchařovice","0,0 mm","0,0 mm","0,1 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Praha-Ruzyně","0,0 mm","1 mm","5,4 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Plzeň-Mikulka","0,0 mm","neměřitelné","7,7 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Temelín","0,0 mm","0,0 mm","0,7 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Čáslav","0,0 mm","1 mm","0,6 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Jičín","neměřitelné","1 mm","6,0 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Praha-Kbely","0,0 mm","0,9 mm","4,7 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Kostelní Myslová","0,0 mm","0,0 mm","2,3 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Churáňov","0,0 mm","0,2 mm","4,6 mm","1 cm","1 cm","05/11/2021 19:00:00"
"Polom","neměřitelné","neměřitelné","2,5 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Náměšť nad Oslavou","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","05/11/2021 19:00:00"
"České Budějovice","0,0 mm","0,0 mm","0,7 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Liberec","0,1 mm","4 mm","19,2 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Pec pod Sněžkou","neměřitelné","5 mm","43,3 mm","roztál","0 cm","05/11/2021 19:00:00"
"Přibyslav","0,2 mm","0,3 mm","0,8 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Přimda","0,0 mm","0,8 mm","5,8 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Holešov","0,0 mm","0,0 mm","0,2 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Pardubice","0,0 mm","neměřitelné","0,3 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Červená u Libavé","0,0 mm","0,1 mm","6,6 mm","0 cm","0 cm","05/11/2021 19:00:00"
"Lysá hora","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Svratouch","0,0 mm","0,0 mm","0,5 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Šerák","0,0 mm","0,0 mm","1,9 mm","1 cm","1 cm","06/11/2021 19:00:00"
"Holešov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Doksany","0,0 mm","0,0 mm","1,8 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Brno-Tuřany","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Jičín","0,0 mm","0,0 mm","1,0 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Ústí nad Orlicí","0,0 mm","0,0 mm","0,2 mm","0 cm","0 cm","06/11/2021 19:00:00"
"České Budějovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Prostějov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Praha-Libuš","0,0 mm","0,0 mm","1,5 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Churáňov","0,0 mm","0,0 mm","0,1 mm","roztál","0 cm","06/11/2021 19:00:00"
"Maruška","0,0 mm"," ","0,0 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Praha-Karlov","0,0 mm","0,0 mm"," "," "," ","06/11/2021 19:00:00"
"Polom","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","06/11/2021 19:00:00"
"Ostrava-Mošnov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Kopisty"," ","0,0 mm","0,3 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Pec pod Sněžkou","0,0 mm","0,0 mm","5,4 mm","roztál","0 cm","06/11/2021 19:00:00"
"Tušimice","0,0 mm","0,0 mm","0,9 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Liberec","0,0 mm","0,0 mm","4,2 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Červená u Libavé","0,0 mm","0,0 mm","0,1 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Milešovka"," ","0,0 mm","4,5 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Karlovy Vary","0,0 mm","0,0 mm","3,5 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Cheb","0,0 mm","0,0 mm","2,7 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Kocelovice","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","06/11/2021 19:00:00"
"Dukovany","0,0 mm","0,0 mm","neměřitelné","0 cm"," ","06/11/2021 19:00:00"
"Kostelní Myslová","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","06/11/2021 19:00:00"
"Přimda","0,0 mm","0,0 mm","0,8 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Přibyslav","0,0 mm","0,0 mm","0,3 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Ústí nad Labem","0,0 mm","0,0 mm","2,1 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Praha-Kbely","0,0 mm","0,0 mm","0,9 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Luká","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","06/11/2021 19:00:00"
"Praha-Ruzyně","0,0 mm","0,0 mm","1,2 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Plzeň-Mikulka","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","06/11/2021 19:00:00"
"Náměšť nad Oslavou","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Kuchařovice","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","06/11/2021 19:00:00"
"Pardubice","0,0 mm","0,0 mm","0,1 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Košetice","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","06/11/2021 19:00:00"
"Temelín","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Čáslav","0,0 mm","0,0 mm","1,0 mm","0 cm","0 cm","06/11/2021 19:00:00"
"Tušimice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Šerák","0,7 mm","0,7 mm","0,0 mm","0 cm","1 cm","07/11/2021 19:00:00"
"Ústí nad Labem","0,0 mm","0,3 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Luká","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Churáňov","neměřitelné","neměřitelné","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Polom","0,1 mm","0,7 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Pec pod Sněžkou","1 mm","3 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Praha-Libuš","0,0 mm","neměřitelné","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Jičín","0,5 mm","0,5 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Přibyslav","0,0 mm","neměřitelné","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Maruška","0,0 mm"," ","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Kostelní Myslová","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Ústí nad Orlicí","neměřitelné","neměřitelné","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"České Budějovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Cheb","0,0 mm","0,1 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Kopisty"," ","0,0 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Holešov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Brno-Tuřany","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Pardubice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Čáslav","0,0 mm","neměřitelné","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Praha-Karlov","0,0 mm","0,0 mm"," "," "," ","07/11/2021 19:00:00"
"Kocelovice","0,0 mm","neměřitelné","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Karlovy Vary","0,0 mm","0,2 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Svratouch","0,0 mm","0,1 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Košetice","0,0 mm","0,2 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Praha-Ruzyně","0,0 mm","neměřitelné","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Liberec","0,1 mm","0,3 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Kuchařovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Prostějov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Plzeň-Mikulka","0,1 mm","0,1 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Červená u Libavé","neměřitelné","neměřitelné","neměřitelné","0 cm","0 cm","07/11/2021 19:00:00"
"Temelín","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Ostrava-Mošnov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Dukovany","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Náměšť nad Oslavou","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Praha-Kbely","0,0 mm","neměřitelné","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Doksany","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Lysá hora","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Přimda","neměřitelné","1 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
"Milešovka"," ","0,1 mm","0,0 mm","0 cm","0 cm","07/11/2021 19:00:00"
