"Stanice","Teplotavzduchu","Teplotarosneho_bodu","Relativnivlhkost","Prumernateplota","Maximalniteplota","Minimalniteplota","Minimalniprizemni_teplota","date_stamp"
"Přimda","6,2 °C","-1,9 °C","56%","5,1 °C","9,2 °C","0,1 °C","-3,3 °C","10/10/2021 19:00:00"
"Churáňov","0,1 °C","-1,6 °C","88%","2,4 °C","6,9 °C","-2,5 °C","-9,2 °C","10/10/2021 19:00:00"
"Lysá hora","3,7 °C","-3,5 °C","60%","1,1 °C","5,6 °C","-1,2 °C","-4,1 °C","10/10/2021 19:00:00"
"Luká","6,4 °C","0,3 °C","65%","5,6 °C","12,0 °C","1,3 °C","-2,7 °C","10/10/2021 19:00:00"
"Tušimice","5,1 °C","-0,3 °C","68%","5,8 °C","14,7 °C","-1,0 °C","-3,6 °C","10/10/2021 19:00:00"
"Náměšť nad Oslavou","7,0 °C","1,6 °C","69%","6,2 °C","11,4 °C","1,2 °C","-3,3 °C","10/10/2021 19:00:00"
"Cheb","4,8 °C","2,0 °C","82%","6,3 °C","13,7 °C","-2,0 °C","-7,2 °C","10/10/2021 19:00:00"
"Doksany","4,2 °C","-2,7 °C","61%","5,8 °C","16,3 °C","-2,8 °C","-8,6 °C","10/10/2021 19:00:00"
"Kopisty","4,4 °C","1,6 °C","82%","7,0 °C","16,1 °C","-2,2 °C","-6,7 °C","10/10/2021 19:00:00"
"Praha-Ruzyně","4,7 °C","-2,2 °C","61%","6,6 °C","12,6 °C","-1,1 °C","-4,0 °C","10/10/2021 19:00:00"
"Čáslav","4,8 °C","1,5 °C","79%","6,4 °C","13,7 °C","-1,5 °C","-6,0 °C","10/10/2021 19:00:00"
"Holešov","8,9 °C","1,1 °C","58%","6,7 °C","12,3 °C","-1,6 °C","-3,8 °C","10/10/2021 19:00:00"
"Ostrava-Mošnov","7,5 °C","2,4 °C","70%","6,3 °C","12,1 °C","-1,5 °C","-4,8 °C","10/10/2021 19:00:00"
"Svratouch","6,7 °C","-2,1 °C","54%","4,9 °C","10,5 °C","0,2 °C","-2,2 °C","10/10/2021 19:00:00"
"Jičín","6,6 °C","2,1 °C","73%","8,8 °C","14,4 °C","1,4 °C","-1,0 °C","10/10/2021 19:00:00"
"Šerák","0,6 °C","-4,4 °C","70%","-0,7 °C","2,5 °C","-1,9 °C","-2,2 °C","10/10/2021 19:00:00"
"Přibyslav","6,9 °C","0,6 °C","64%","5,4 °C","13,1 °C","-3,1 °C","-5,0 °C","10/10/2021 19:00:00"
"Praha-Libuš","7,0 °C","0,7 °C","64%","7,0 °C","13,2 °C","-1,3 °C","-6,6 °C","10/10/2021 19:00:00"
"Kuchařovice","8,5 °C","2,3 °C","65%","7,0 °C","12,3 °C","-0,2 °C","-3,0 °C","10/10/2021 19:00:00"
"Milešovka","4,3 °C","-1,3 °C","67%","4,3 °C","11,4 °C","0,3 °C","-4,8 °C","10/10/2021 19:00:00"
"Košetice","6,1 °C","1,6 °C","73%","5,8 °C","12,0 °C","-2,2 °C","-5,6 °C","10/10/2021 19:00:00"
"Maruška","5,1 °C","1,1 °C","76%","3,9 °C","8,6 °C","-0,8 °C","-1,4 °C","10/10/2021 19:00:00"
"Karlovy Vary","2,0 °C","-0,7 °C","82%","4,0 °C","11,0 °C","-3,3 °C","-7,6 °C","10/10/2021 19:00:00"
"Polom","6,0 °C","-2,6 °C","54%","4,6 °C","7,7 °C","2,1 °C","-2,8 °C","10/10/2021 19:00:00"
"Pardubice","6,9 °C","2,0 °C","71%","5,9 °C","14,8 °C","-1,7 °C","-4,5 °C","10/10/2021 19:00:00"
