"Stanice","Teplotavzduchu","Teplotarosneho_bodu","Relativnivlhkost","Prumernateplota","Maximalniteplota","Minimalniteplota","Minimalniprizemni_teplota","date_stamp"
"Ústí nad Orlicí","11,6 °C","8,0 °C","78%","5,9 °C","8,4 °C","0,4 °C","7,5 °C","15/10/2021 12:00:00"
"Doksany","14,6 °C","6,9 °C","60%","8,9 °C","10,8 °C","4,0 °C","8,2 °C","15/10/2021 12:00:00"
"Plzeň-Mikulka","14,9 °C","6,7 °C","58%","7,8 °C","9,5 °C","4,8 °C","7,3 °C","15/10/2021 12:00:00"
"Košetice","13,9 °C","6,9 °C","63%","6,0 °C","7,7 °C","1,6 °C","5,5 °C","15/10/2021 12:00:00"
"Praha-Kbely","13,9 °C","7,0 °C","63%","8,2 °C","10,2 °C","4,8 °C","6,1 °C","15/10/2021 12:00:00"
"Kopisty"," "," "," ","10,1 °C","13,2 °C","6,6 °C","8,3 °C","15/10/2021 12:00:00"
"Prostějov","12,4 °C","7,6 °C","73%","7,3 °C","11,5 °C","0,6 °C","7,0 °C","15/10/2021 12:00:00"
"Temelín","13,5 °C","7,3 °C","66%","5,8 °C","8,4 °C","1,8 °C","5,8 °C","15/10/2021 12:00:00"
"Luká","11,0 °C","6,5 °C","74%","6,0 °C","8,5 °C","1,9 °C","6,3 °C","15/10/2021 12:00:00"
"Brno-Tuřany","12,5 °C","7,4 °C","71%","7,6 °C","11,0 °C","1,9 °C","6,6 °C","15/10/2021 12:00:00"
"Praha-Karlov","13,7 °C","7,0 °C","64%"," "," "," "," ","15/10/2021 12:00:00"
"České Budějovice","15,7 °C","6,9 °C","56%","6,8 °C","9,4 °C","2,9 °C","5,4 °C","15/10/2021 12:00:00"
"Červená u Libavé","6,3 °C","6,0 °C","98%","4,4 °C","6,3 °C","2,6 °C","4,7 °C","15/10/2021 12:00:00"
"Kocelovice","12,6 °C","6,6 °C","67%","6,5 °C","7,9 °C","4,1 °C","6,4 °C","15/10/2021 12:00:00"
"Tušimice","13,4 °C","6,3 °C","62%","9,6 °C","12,9 °C","6,2 °C","8,4 °C","15/10/2021 12:00:00"
"Luká","7,2 °C","6,6 °C","96%","4,1 °C","7,2 °C","1,1 °C","-0,8 °C","15/10/2021 05:00:00"
"Prostějov","7,8 °C","6,4 °C","91%","6,2 °C","10,1 °C","0,1 °C","-3,6 °C","15/10/2021 05:00:00"
"Přimda","5,7 °C","5,6 °C","100%","2,8 °C","7,4 °C","1,4 °C","-2,0 °C","15/10/2021 05:00:00"
"Jičín","8,7 °C","7,5 °C","93%","4,1 °C","9,5 °C","1,1 °C","-0,4 °C","15/10/2021 05:00:00"
"Praha-Libuš","9,1 °C","7,2 °C","88%","5,2 °C","10,9 °C","2,6 °C","-2,0 °C","15/10/2021 05:00:00"
"Praha-Karlov","9,4 °C","7,2 °C","86%"," "," "," "," ","15/10/2021 05:00:00"
"Pardubice","9,4 °C","7,0 °C","85%","5,5 °C","9,9 °C","0,4 °C","-2,5 °C","15/10/2021 05:00:00"
"Tušimice","10,4 °C","7,3 °C","81%","7,4 °C","11,7 °C","4,6 °C","3,3 °C","15/10/2021 05:00:00"
"Červená u Libavé","5,0 °C","4,7 °C","98%","1,8 °C","6,0 °C","0,8 °C","-2,3 °C","15/10/2021 05:00:00"
"Praha-Kbely","9,3 °C","7,6 °C","89%","6,1 °C","9,9 °C","1,2 °C","-3,6 °C","15/10/2021 05:00:00"
"Ostrava-Mošnov","8,6 °C","7,2 °C","91%","5,3 °C","8,3 °C","-0,1 °C","-1,8 °C","15/10/2021 05:00:00"
"Polom","5,7 °C","5,4 °C","98%","2,8 °C","4,8 °C","0,0 °C","-2,0 °C","15/10/2021 05:00:00"
"Dukovany","6,4 °C","5,6 °C","95%","4,6 °C","9,5 °C","1,4 °C","-2,0 °C","15/10/2021 05:00:00"
"Milešovka","5,9 °C","5,9 °C","100%","3,2 °C","6,0 °C","1,4 °C","1,4 °C","15/10/2021 05:00:00"
"Karlovy Vary","8,0 °C","6,1 °C","88%","4,0 °C","8,2 °C","0,5 °C","0,1 °C","15/10/2021 05:00:00"
"Kuchařovice","10,0 °C","7,6 °C","85%","7,5 °C","10,5 °C","2,9 °C","5,4 °C","15/10/2021 19:00:00"
"Liberec","7,9 °C","6,6 °C","92%","6,0 °C","8,9 °C","4,2 °C","7,1 °C","15/10/2021 19:00:00"
"Pardubice","13,4 °C","7,3 °C","67%","7,5 °C","9,9 °C","2,0 °C","6,9 °C","15/10/2021 19:00:00"
"Jičín","11,6 °C","6,9 °C","73%","6,0 °C","8,5 °C","2,7 °C","7,5 °C","15/10/2021 19:00:00"
"Karlovy Vary","7,7 °C","6,1 °C","90%","6,7 °C","8,0 °C","4,9 °C","6,4 °C","15/10/2021 19:00:00"
"Čáslav","12,0 °C","7,1 °C","72%","8,0 °C","9,9 °C","3,8 °C","6,3 °C","15/10/2021 19:00:00"
"Červená u Libavé","6,0 °C","5,3 °C","95%","4,4 °C","6,3 °C","2,6 °C","4,7 °C","15/10/2021 19:00:00"
"Kostelní Myslová","10,4 °C","6,3 °C","76%","5,1 °C","7,6 °C","0,0 °C","5,1 °C","15/10/2021 19:00:00"
"Churáňov","6,0 °C","3,7 °C","85%","2,6 °C","3,9 °C","0,3 °C","0,0 °C","15/10/2021 19:00:00"
"Kopisty","9,1 °C","6,4 °C","83%","10,1 °C","13,2 °C","6,6 °C","8,3 °C","15/10/2021 19:00:00"
"Maruška","5,6 °C","4,8 °C","95%","5,0 °C","7,3 °C","3,3 °C","4,6 °C","15/10/2021 19:00:00"
"Šerák","3,4 °C","3,4 °C","100%","-0,5 °C","1,9 °C","-3,6 °C","1,0 °C","15/10/2021 19:00:00"
"Pec pod Sněžkou","6,6 °C","4,6 °C","87%","4,3 °C","5,8 °C","2,0 °C","5,1 °C","15/10/2021 19:00:00"
"Praha-Karlov","12,7 °C","6,5 °C","66%"," "," "," "," ","15/10/2021 19:00:00"
"Ústí nad Orlicí","11,2 °C","8,0 °C","81%","5,9 °C","8,4 °C","0,4 °C","7,5 °C","15/10/2021 19:00:00"
"Cheb","7,8 °C","6,4 °C","91%","7,4 °C","8,4 °C","5,2 °C","5,4 °C","15/10/2021 19:00:00"
"Svratouch","8,5 °C","7,2 °C","91%","4,6 °C","6,6 °C","1,3 °C","5,9 °C","15/10/2021 19:00:00"
"Přibyslav","11,5 °C","6,8 °C","73%","5,4 °C","7,6 °C","0,5 °C","6,2 °C","15/10/2021 19:00:00"
"Ústí nad Labem","8,5 °C","4,9 °C","78%","7,6 °C","9,3 °C","4,9 °C","7,2 °C","15/10/2021 19:00:00"
"Dukovany","11,0 °C","6,4 °C","73%","6,7 °C","10,5 °C","1,6 °C","5,5 °C","15/10/2021 19:00:00"
"Holešov","8,6 °C","5,3 °C","80%","6,5 °C","10,9 °C","1,1 °C","5,9 °C","15/10/2021 19:00:00"
"Brno-Tuřany","10,5 °C","7,0 °C","79%","7,6 °C","11,0 °C","1,9 °C","6,6 °C","15/10/2021 19:00:00"
"Luká","9,2 °C","6,3 °C","82%","6,0 °C","8,5 °C","1,9 °C","6,3 °C","15/10/2021 19:00:00"
"Praha-Libuš","12,5 °C","6,5 °C","67%","8,1 °C","9,8 °C","5,2 °C","7,0 °C","15/10/2021 19:00:00"
"Košetice","10,8 °C","5,5 °C","70%","6,0 °C","7,7 °C","1,6 °C","5,5 °C","15/10/2021 19:00:00"
"Doksany","10,3 °C","6,0 °C","75%","8,9 °C","10,8 °C","4,0 °C","8,2 °C","15/10/2021 19:00:00"
"Náměšť nad Oslavou","10,0 °C","7,1 °C","82%","6,1 °C","9,0 °C","0,6 °C","4,3 °C","15/10/2021 19:00:00"
"Přimda","7,6 °C","6,5 °C","93%","5,3 °C","6,3 °C","3,3 °C","5,1 °C","15/10/2021 19:00:00"
"Milešovka","4,5 °C","4,2 °C","98%","5,6 °C","7,0 °C","3,2 °C","5,7 °C","15/10/2021 19:00:00"
"Tušimice","9,6 °C","5,4 °C","75%","9,6 °C","12,9 °C","6,2 °C","8,4 °C","15/10/2021 19:00:00"
"Praha-Kbely","12,0 °C","7,1 °C","72%","8,2 °C","10,2 °C","4,8 °C","6,1 °C","15/10/2021 19:00:00"
"Praha-Ruzyně","11,6 °C","7,3 °C","75%","7,8 °C","9,8 °C","4,7 °C","7,2 °C","15/10/2021 19:00:00"
"Prostějov","9,5 °C","6,0 °C","79%","7,3 °C","11,5 °C","0,6 °C","7,0 °C","15/10/2021 19:00:00"
"Polom","7,8 °C","7,4 °C","97%","4,1 °C","6,0 °C","1,5 °C","6,1 °C","15/10/2021 19:00:00"
"Lysá hora","3,1 °C","2,9 °C","99%","0,4 °C","3,3 °C","-1,9 °C","1,1 °C","15/10/2021 19:00:00"
"Kocelovice","10,0 °C","6,2 °C","77%","6,5 °C","7,9 °C","4,1 °C","6,4 °C","15/10/2021 19:00:00"
"České Budějovice","11,8 °C","5,4 °C","65%","6,8 °C","9,4 °C","2,9 °C","5,4 °C","15/10/2021 19:00:00"
"Ostrava-Mošnov","10,3 °C","6,2 °C","76%","7,1 °C","10,8 °C","0,9 °C","7,0 °C","15/10/2021 19:00:00"
"Temelín","11,3 °C","5,4 °C","67%","5,8 °C","8,4 °C","1,8 °C","5,8 °C","15/10/2021 19:00:00"
"Plzeň-Mikulka","12,0 °C","6,9 °C","71%","7,8 °C","9,5 °C","4,8 °C","7,3 °C","15/10/2021 19:00:00"
"Kopisty"," "," "," ","10,6 °C","16,0 °C","2,9 °C","-1,8 °C","16/10/2021 12:00:00"
"Karlovy Vary","7,9 °C","2,9 °C","71%","7,2 °C","11,9 °C","-2,1 °C","-4,9 °C","16/10/2021 12:00:00"
"Dukovany","11,3 °C","3,1 °C","57%","9,9 °C","14,3 °C","3,8 °C","1,8 °C","16/10/2021 12:00:00"
"Čáslav","10,4 °C","3,8 °C","64%","11,6 °C","16,4 °C","3,3 °C","-2,2 °C","16/10/2021 12:00:00"
"Liberec","10,1 °C","5,5 °C","73%","8,2 °C","13,0 °C","4,3 °C","1,9 °C","16/10/2021 12:00:00"
"Košetice","8,1 °C","2,7 °C","69%","10,2 °C","15,2 °C","1,6 °C","-1,7 °C","16/10/2021 12:00:00"
"Lysá hora","1,6 °C","1,0 °C","96%","3,2 °C","3,9 °C","-0,5 °C","-0,4 °C","16/10/2021 12:00:00"
"Pec pod Sněžkou","6,6 °C","0,1 °C","63%","4,7 °C","8,1 °C","-0,9 °C","-2,6 °C","16/10/2021 12:00:00"
"Svratouch","5,7 °C","2,6 °C","81%","8,0 °C","12,0 °C","3,6 °C","3,1 °C","16/10/2021 12:00:00"
"Náměšť nad Oslavou","10,1 °C","2,9 °C","61%","8,8 °C","12,9 °C","3,5 °C","1,2 °C","16/10/2021 12:00:00"
"Ústí nad Labem","10,2 °C","4,0 °C","65%","9,3 °C","15,0 °C","4,7 °C","0,3 °C","16/10/2021 12:00:00"
"Holešov","11,1 °C","3,9 °C","61%","9,3 °C","12,0 °C","2,6 °C","-1,1 °C","16/10/2021 12:00:00"
"Brno-Tuřany","12,2 °C","3,7 °C","56%","10,6 °C","14,0 °C","4,4 °C","1,6 °C","16/10/2021 12:00:00"
"Praha-Libuš","10,3 °C","2,9 °C","60%","10,7 °C","15,6 °C","3,3 °C","-2,0 °C","16/10/2021 12:00:00"
"Praha-Karlov","12,4 °C","3,5 °C","54%"," "," "," "," ","16/10/2021 12:00:00"
"Červená u Libavé","7,7 °C","2,0 °C","67%","5,8 °C","7,3 °C","2,4 °C","-0,1 °C","16/10/2021 12:00:00"
"Přibyslav","7,6 °C","3,6 °C","76%","9,8 °C","14,5 °C","4,5 °C","3,2 °C","16/10/2021 12:00:00"
"Doksany","13,2 °C","4,1 °C","54%","11,0 °C","17,2 °C","1,2 °C","-3,3 °C","16/10/2021 12:00:00"
"Ústí nad Orlicí","7,1 °C","4,4 °C","83%","10,6 °C","13,8 °C","4,4 °C","-1,0 °C","16/10/2021 12:00:00"
"Polom","6,0 °C","3,2 °C","82%","7,0 °C","9,5 °C","1,6 °C","-1,6 °C","16/10/2021 12:00:00"
"Luká","9,9 °C","5,6 °C","73%","8,8 °C","12,0 °C","2,5 °C","-1,3 °C","16/10/2021 12:00:00"
"Milešovka","7,0 °C","3,4 °C","78%","6,0 °C","11,0 °C","3,2 °C","1,5 °C","16/10/2021 12:00:00"
"Prostějov","12,4 °C","4,7 °C","59%","10,6 °C","14,5 °C","2,5 °C","-2,7 °C","16/10/2021 12:00:00"
"Šerák","1,0 °C","0,0 °C","93%","2,9 °C","3,7 °C","-1,1 °C","-1,9 °C","16/10/2021 12:00:00"
"Churáňov","5,4 °C","2,2 °C","81%","6,2 °C","10,4 °C","1,4 °C","-2,5 °C","16/10/2021 12:00:00"
"Maruška","8,0 °C","2,8 °C","69%","6,1 °C","7,5 °C","3,2 °C","1,5 °C","16/10/2021 12:00:00"
"Tušimice","11,0 °C","3,1 °C","58%","10,3 °C","14,8 °C","2,2 °C","-0,7 °C","16/10/2021 12:00:00"
"Ostrava-Mošnov","11,7 °C","4,5 °C","61%","10,0 °C","12,0 °C","6,3 °C","0,1 °C","16/10/2021 12:00:00"
"Jičín","11,7 °C","4,8 °C","63%","9,7 °C","14,5 °C","3,6 °C","1,0 °C","16/10/2021 12:00:00"
"Temelín","9,4 °C","2,9 °C","64%","10,9 °C","16,5 °C","3,1 °C","-0,6 °C","16/10/2021 12:00:00"
"Kostelní Myslová","8,4 °C","1,7 °C","62%","10,1 °C","15,7 °C","3,4 °C","0,1 °C","16/10/2021 12:00:00"
"České Budějovice","9,6 °C","3,3 °C","65%","7,4 °C","12,3 °C","-0,1 °C","-3,2 °C","17/10/2021 12:00:00"
"Praha-Ruzyně","9,7 °C","2,9 °C","63%","6,8 °C","12,4 °C","0,3 °C","-2,0 °C","17/10/2021 12:00:00"
"Temelín","9,5 °C","5,9 °C","78%","6,8 °C","11,4 °C","1,1 °C","-2,4 °C","17/10/2021 12:00:00"
"Prostějov","11,9 °C","3,2 °C","55%","6,7 °C","13,2 °C","0,2 °C","-4,5 °C","17/10/2021 12:00:00"
"Praha-Karlov","8,5 °C","3,5 °C","71%"," "," "," "," ","17/10/2021 12:00:00"
"Churáňov","6,5 °C","1,8 °C","72%","3,2 °C","8,2 °C","-1,3 °C","-5,8 °C","17/10/2021 12:00:00"
"Plzeň-Mikulka","6,7 °C","3,2 °C","78%","5,9 °C","14,3 °C","-1,1 °C","-6,0 °C","17/10/2021 12:00:00"
"Kostelní Myslová","10,0 °C","3,4 °C","64%","5,9 °C","11,6 °C","0,0 °C","-4,4 °C","17/10/2021 12:00:00"
"Pardubice","10,0 °C","3,5 °C","64%","5,3 °C","12,1 °C","-1,3 °C","-3,9 °C","17/10/2021 12:00:00"
"Kuchařovice","10,8 °C","3,8 °C","62%","6,6 °C","13,3 °C","0,1 °C","-1,8 °C","17/10/2021 12:00:00"
"Karlovy Vary","7,6 °C","2,4 °C","70%","2,3 °C","10,4 °C","-2,5 °C","-6,1 °C","17/10/2021 12:00:00"
"Milešovka","5,6 °C","1,9 °C","77%","4,8 °C","7,8 °C","3,3 °C","-0,4 °C","17/10/2021 12:00:00"
"Košetice","9,5 °C","4,3 °C","70%","4,6 °C","10,2 °C","-1,1 °C","-5,9 °C","17/10/2021 12:00:00"
"Praha-Kbely","8,4 °C","4,2 °C","75%","6,4 °C","12,8 °C","0,6 °C","-5,2 °C","17/10/2021 12:00:00"
"Čáslav","9,3 °C","3,2 °C","66%","6,1 °C","12,2 °C","-0,9 °C","-6,2 °C","17/10/2021 12:00:00"
"Ústí nad Orlicí","9,4 °C","2,8 °C","64%","4,2 °C","8,9 °C","-1,2 °C","-2,8 °C","17/10/2021 12:00:00"
"Ostrava-Mošnov","11,6 °C","0,3 °C","46%","7,6 °C","12,5 °C","-1,6 °C","-4,2 °C","17/10/2021 12:00:00"
"Přimda","7,0 °C","4,7 °C","85%","5,4 °C","10,8 °C","2,4 °C","-2,5 °C","17/10/2021 12:00:00"
"Ústí nad Labem","7,1 °C","4,4 °C","83%","7,9 °C","12,5 °C","4,6 °C","2,2 °C","17/10/2021 12:00:00"
"Náměšť nad Oslavou","10,6 °C","4,5 °C","66%","6,0 °C","10,8 °C","0,1 °C","-3,1 °C","17/10/2021 12:00:00"
"Cheb","6,5 °C","4,5 °C","87%","5,1 °C","12,0 °C","-0,4 °C","-4,2 °C","17/10/2021 12:00:00"
"Luká","9,7 °C","4,3 °C","72%","6,1 °C","11,1 °C","2,5 °C","-0,2 °C","17/10/2021 12:00:00"
"Holešov","12,1 °C","2,5 °C","52%","6,3 °C","13,0 °C","-2,0 °C","-4,8 °C","17/10/2021 12:00:00"
"Brno-Tuřany","11,8 °C","4,1 °C","59%","7,9 °C","13,9 °C","0,3 °C","-2,2 °C","17/10/2021 12:00:00"
"Červená u Libavé","7,9 °C","-0,3 °C","56%","4,6 °C","8,8 °C","3,1 °C","-0,4 °C","17/10/2021 12:00:00"
"Liberec","8,5 °C","3,7 °C","72%","6,3 °C","10,2 °C","3,8 °C","2,7 °C","17/10/2021 12:00:00"
"Šerák","1,0 °C","-1,3 °C","85%","-0,3 °C","2,2 °C","-1,5 °C","-3,8 °C","17/10/2021 12:00:00"
"Pec pod Sněžkou","5,5 °C","1,2 °C","74%","3,0 °C","7,7 °C","-0,8 °C","1,4 °C","17/10/2021 12:00:00"
"Jičín","8,9 °C","4,3 °C","73%","7,6 °C","12,2 °C","4,8 °C","2,7 °C","17/10/2021 12:00:00"
"Polom","6,7 °C","1,6 °C","70%","4,6 °C","7,6 °C","2,1 °C","1,6 °C","17/10/2021 12:00:00"
"Svratouch","7,1 °C","1,0 °C","65%","4,1 °C","7,8 °C","1,9 °C","-1,6 °C","17/10/2021 12:00:00"
"Přibyslav","9,4 °C","2,5 °C","62%","4,0 °C","8,7 °C","-2,8 °C","-4,8 °C","17/10/2021 12:00:00"
"Kocelovice","9,6 °C","4,2 °C","69%","4,7 °C","11,1 °C","-1,3 °C","-4,6 °C","17/10/2021 12:00:00"
"Kopisty"," "," "," ","7,8 °C","13,8 °C","1,3 °C","-3,5 °C","17/10/2021 12:00:00"
"Tušimice","10,8 °C","2,3 °C","56%","5,7 °C","13,3 °C","0,9 °C","-1,9 °C","17/10/2021 12:00:00"
"Lysá hora","3,2 °C","-2,9 °C","64%","0,1 °C","3,0 °C","-1,5 °C","-3,4 °C","17/10/2021 12:00:00"
"Dukovany","11,6 °C","3,4 °C","57%","6,1 °C","12,3 °C","-0,4 °C","-2,8 °C","17/10/2021 12:00:00"
"Doksany","8,2 °C","3,9 °C","75%","7,1 °C","13,7 °C","2,1 °C","-3,5 °C","17/10/2021 12:00:00"
"Maruška","9,1 °C","1,7 °C","60%","5,9 °C","10,1 °C","3,7 °C","0,5 °C","17/10/2021 12:00:00"
"Praha-Libuš","8,7 °C","3,7 °C","71%","6,8 °C","12,5 °C","-0,4 °C","-3,7 °C","17/10/2021 12:00:00"
"Kocelovice","9,7 °C","2,3 °C","60%","10,0 °C","14,7 °C","1,6 °C","-2,5 °C","16/10/2021 12:00:00"
"Cheb","7,4 °C","4,2 °C","80%","8,2 °C","13,3 °C","1,8 °C","-1,8 °C","16/10/2021 12:00:00"
"Praha-Ruzyně","10,4 °C","3,2 °C","61%","9,8 °C","14,8 °C","2,8 °C","0,3 °C","16/10/2021 12:00:00"
"Pardubice","9,6 °C","5,1 °C","74%","12,1 °C","16,7 °C","2,0 °C","-1,1 °C","16/10/2021 12:00:00"
"Plzeň-Mikulka","12,5 °C","2,9 °C","53%","11,2 °C","16,3 °C","1,1 °C","-3,5 °C","16/10/2021 12:00:00"
"Kuchařovice","11,7 °C","3,2 °C","56%","10,5 °C","15,6 °C","4,7 °C","2,4 °C","16/10/2021 12:00:00"
"Praha-Kbely","11,3 °C","3,4 °C","58%","10,5 °C","15,5 °C","3,3 °C","-1,4 °C","16/10/2021 12:00:00"
"České Budějovice","9,2 °C","3,4 °C","67%","11,4 °C","17,8 °C","3,6 °C","0,6 °C","16/10/2021 12:00:00"
"Přimda","7,3 °C","3,1 °C","75%","6,3 °C","10,6 °C","2,2 °C","-2,2 °C","16/10/2021 12:00:00"
"Holešov","6,0 °C","3,0 °C","81%","9,3 °C","12,0 °C","2,6 °C","-1,1 °C","16/10/2021 19:00:00"
"Plzeň-Mikulka","6,6 °C","2,1 °C","73%","11,2 °C","16,3 °C","1,1 °C","-3,5 °C","16/10/2021 19:00:00"
"Tušimice","6,4 °C","2,1 °C","74%","10,3 °C","14,8 °C","2,2 °C","-0,7 °C","16/10/2021 19:00:00"
"Přimda","5,5 °C","1,4 °C","75%","6,3 °C","10,6 °C","2,2 °C","-2,2 °C","16/10/2021 19:00:00"
"Doksany","8,9 °C","4,1 °C","72%","11,0 °C","17,2 °C","1,2 °C","-3,3 °C","16/10/2021 19:00:00"
"Ostrava-Mošnov","7,5 °C","5,0 °C","84%","10,0 °C","12,0 °C","6,3 °C","0,1 °C","16/10/2021 19:00:00"
"Praha-Karlov","8,9 °C","3,7 °C","70%"," "," "," "," ","16/10/2021 19:00:00"
"Prostějov","8,5 °C","3,7 °C","72%","10,6 °C","14,5 °C","2,5 °C","-2,7 °C","16/10/2021 19:00:00"
"Lysá hora","0,2 °C","0,1 °C","99%","3,2 °C","3,9 °C","-0,5 °C","-0,4 °C","16/10/2021 19:00:00"
"Milešovka","5,1 °C","3,3 °C","88%","6,0 °C","11,0 °C","3,2 °C","1,5 °C","16/10/2021 19:00:00"
"Kuchařovice","6,8 °C","2,5 °C","74%","10,5 °C","15,6 °C","4,7 °C","2,4 °C","16/10/2021 19:00:00"
"Dukovany","6,4 °C","2,1 °C","74%","9,9 °C","14,3 °C","3,8 °C","1,8 °C","16/10/2021 19:00:00"
"Košetice","5,2 °C","2,0 °C","80%","10,2 °C","15,2 °C","1,6 °C","-1,7 °C","16/10/2021 19:00:00"
"Luká","5,5 °C","2,8 °C","83%","8,8 °C","12,0 °C","2,5 °C","-1,3 °C","16/10/2021 19:00:00"
"Praha-Ruzyně","5,2 °C","2,7 °C","84%","9,8 °C","14,8 °C","2,8 °C","0,3 °C","16/10/2021 19:00:00"
"Pec pod Sněžkou","4,1 °C","1,9 °C","85%","4,7 °C","8,1 °C","-0,9 °C","-2,6 °C","16/10/2021 19:00:00"
"Liberec","5,6 °C","4,1 °C","90%","8,2 °C","13,0 °C","4,3 °C","1,9 °C","16/10/2021 19:00:00"
"Maruška","5,0 °C","2,3 °C","83%","6,1 °C","7,5 °C","3,2 °C","1,5 °C","16/10/2021 19:00:00"
"Šerák","-0,8 °C","-1,7 °C","93%","2,9 °C","3,7 °C","-1,1 °C","-1,9 °C","16/10/2021 19:00:00"
"Náměšť nad Oslavou","5,6 °C","2,3 °C","79%","8,8 °C","12,9 °C","3,5 °C","1,2 °C","16/10/2021 19:00:00"
"Praha-Libuš","7,5 °C","3,4 °C","75%","10,7 °C","15,6 °C","3,3 °C","-2,0 °C","16/10/2021 19:00:00"
"Ústí nad Orlicí","3,5 °C","3,0 °C","96%","10,6 °C","13,8 °C","4,4 °C","-1,0 °C","16/10/2021 19:00:00"
"Přibyslav","3,5 °C","3,1 °C","97%","9,8 °C","14,5 °C","4,5 °C","3,2 °C","16/10/2021 19:00:00"
"Jičín","8,5 °C","6,1 °C","85%","9,7 °C","14,5 °C","3,6 °C","1,0 °C","16/10/2021 19:00:00"
"Temelín","8,2 °C","2,9 °C","69%","10,9 °C","16,5 °C","3,1 °C","-0,6 °C","16/10/2021 19:00:00"
"Kostelní Myslová","4,6 °C","1,4 °C","80%","10,1 °C","15,7 °C","3,4 °C","0,1 °C","16/10/2021 19:00:00"
"Kocelovice","6,6 °C","1,9 °C","72%","10,0 °C","14,7 °C","1,6 °C","-2,5 °C","16/10/2021 19:00:00"
"Kopisty","8,8 °C","5,4 °C","79%","10,6 °C","16,0 °C","2,9 °C","-1,8 °C","16/10/2021 19:00:00"
"Polom","4,7 °C","1,5 °C","80%","7,0 °C","9,5 °C","1,6 °C","-1,6 °C","16/10/2021 19:00:00"
"Churáňov","2,5 °C","1,8 °C","95%","6,2 °C","10,4 °C","1,4 °C","-2,5 °C","16/10/2021 19:00:00"
"Praha-Kbely","6,1 °C","2,7 °C","79%","10,5 °C","15,5 °C","3,3 °C","-1,4 °C","16/10/2021 19:00:00"
"Brno-Tuřany","8,3 °C","3,6 °C","72%","10,6 °C","14,0 °C","4,4 °C","1,6 °C","16/10/2021 19:00:00"
"Ústí nad Labem","8,2 °C","4,3 °C","77%","9,3 °C","15,0 °C","4,7 °C","0,3 °C","16/10/2021 19:00:00"
"Cheb","5,5 °C","2,9 °C","83%","8,2 °C","13,3 °C","1,8 °C","-1,8 °C","16/10/2021 19:00:00"
"Karlovy Vary","2,8 °C","1,2 °C","89%","7,2 °C","11,9 °C","-2,1 °C","-4,9 °C","16/10/2021 19:00:00"
"Čáslav","4,9 °C","2,5 °C","84%","11,6 °C","16,4 °C","3,3 °C","-2,2 °C","16/10/2021 19:00:00"
"České Budějovice","7,7 °C","4,6 °C","81%","11,4 °C","17,8 °C","3,6 °C","0,6 °C","16/10/2021 19:00:00"
"Pardubice","5,4 °C","3,6 °C","89%","12,1 °C","16,7 °C","2,0 °C","-1,1 °C","16/10/2021 19:00:00"
"Červená u Libavé","4,7 °C","2,7 °C","87%","5,8 °C","7,3 °C","2,4 °C","-0,1 °C","16/10/2021 19:00:00"
"Svratouch","4,0 °C","2,1 °C","88%","8,0 °C","12,0 °C","3,6 °C","3,1 °C","16/10/2021 19:00:00"
"Brno-Tuřany","0,9 °C","0,0 °C","94%","10,6 °C","14,0 °C","4,4 °C","1,6 °C","17/10/2021 05:00:00"
"Ústí nad Orlicí","-1,1 °C","-1,2 °C","99%","10,6 °C","13,8 °C","4,4 °C","-1,0 °C","17/10/2021 05:00:00"
"Přimda","3,1 °C","1,3 °C","88%","6,3 °C","10,6 °C","2,2 °C","-2,2 °C","17/10/2021 05:00:00"
"Luká","3,7 °C","2,7 °C","93%","8,8 °C","12,0 °C","2,5 °C","-1,3 °C","17/10/2021 05:00:00"
"Churáňov","-0,3 °C","-1,0 °C","97%","6,2 °C","10,4 °C","1,4 °C","-2,5 °C","17/10/2021 05:00:00"
"Liberec","5,9 °C","4,0 °C","87%","8,2 °C","13,0 °C","4,3 °C","1,9 °C","17/10/2021 05:00:00"
"Pec pod Sněžkou","2,4 °C","1,4 °C","93%","4,7 °C","8,1 °C","-0,9 °C","-2,6 °C","17/10/2021 05:00:00"
"Ostrava-Mošnov","-1,5 °C","-1,7 °C","98%","10,0 °C","12,0 °C","6,3 °C","0,1 °C","17/10/2021 05:00:00"
"Doksany","3,1 °C","1,2 °C","87%","11,0 °C","17,2 °C","1,2 °C","-3,3 °C","17/10/2021 05:00:00"
"Červená u Libavé","3,8 °C","-0,8 °C","72%","5,8 °C","7,3 °C","2,4 °C","-0,1 °C","17/10/2021 05:00:00"
"Kocelovice","0,5 °C","0,2 °C","98%","10,0 °C","14,7 °C","1,6 °C","-2,5 °C","17/10/2021 05:00:00"
"Šerák","-1,4 °C","-1,7 °C","97%","2,9 °C","3,7 °C","-1,1 °C","-1,9 °C","17/10/2021 05:00:00"
"Kostelní Myslová","0,5 °C","-0,2 °C","95%","10,1 °C","15,7 °C","3,4 °C","0,1 °C","17/10/2021 05:00:00"
"Cheb","0,3 °C","0,3 °C","100%","8,2 °C","13,3 °C","1,8 °C","-1,8 °C","17/10/2021 05:00:00"
"Milešovka","4,2 °C","2,6 °C","89%","6,0 °C","11,0 °C","3,2 °C","1,5 °C","17/10/2021 05:00:00"
"Temelín","3,0 °C","3,0 °C","100%","10,9 °C","16,5 °C","3,1 °C","-0,6 °C","17/10/2021 05:00:00"
